Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Api\Ecommerce.Api\Ecommerce.Api.csproj,File,src\Api\Ecommerce.Api\Ecommerce.Api.csproj,,,Microsoft.AspNetCore.OpenApi 7.0.5,,,,,"Microsoft.AspNetCore.OpenApi, 7.0.5  Recomendación:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 8.0.29"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Api\Ecommerce.Api\Ecommerce.Api.csproj,File,src\Api\Ecommerce.Api\Ecommerce.Api.csproj,,,Microsoft.EntityFrameworkCore.Design 7.0.5,,,,,"Microsoft.EntityFrameworkCore.Design, 7.0.5  Recomendación:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 8.0.29"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,src\Api\Ecommerce.Api\Ecommerce.Api.csproj,File,src\Api\Ecommerce.Api\Ecommerce.Api.csproj,,,,,,,,Marco de destino actual: net7.0 Marco de destino recomendado: net8.0
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,src\Api\Ecommerce.Api\Ecommerce.Api.csproj,File,src\Api\Ecommerce.Api\Program.cs,70,8,P:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerOptions.TokenValidationParameters,,,,,"opt.TokenValidationParameters=new TokenValidationParameters {              ValidateIssuerSigningKey= true,              IssuerSigningKey=key,              ValidateAudience= false,              ValidateIssuer=false,          };"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,src\Api\Ecommerce.Api\Ecommerce.Api.csproj,File,src\Api\Ecommerce.Api\Program.cs,68,0,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults,,,,,"builder.Services.AddAuthentication(JwtBearerDefaults.AuthenticationScheme).AddJwtBearer(opt=>      {          opt.TokenValidationParameters=new TokenValidationParameters {              ValidateIssuerSigningKey= true,              IssuerSigningKey=key,              ValidateAudience= false,              ValidateIssuer=false,          };      }  );"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,src\Api\Ecommerce.Api\Ecommerce.Api.csproj,File,src\Api\Ecommerce.Api\Program.cs,68,0,F:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults.AuthenticationScheme,,,,,"builder.Services.AddAuthentication(JwtBearerDefaults.AuthenticationScheme).AddJwtBearer(opt=>      {          opt.TokenValidationParameters=new TokenValidationParameters {              ValidateIssuerSigningKey= true,              IssuerSigningKey=key,              ValidateAudience= false,              ValidateIssuer=false,          };      }  );"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,src\Api\Ecommerce.Api\Ecommerce.Api.csproj,File,src\Api\Ecommerce.Api\Program.cs,68,0,T:Microsoft.Extensions.DependencyInjection.JwtBearerExtensions,,,,,"builder.Services.AddAuthentication(JwtBearerDefaults.AuthenticationScheme).AddJwtBearer(opt=>      {          opt.TokenValidationParameters=new TokenValidationParameters {              ValidateIssuerSigningKey= true,              IssuerSigningKey=key,              ValidateAudience= false,              ValidateIssuer=false,          };      }  );"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,src\Api\Ecommerce.Api\Ecommerce.Api.csproj,File,src\Api\Ecommerce.Api\Program.cs,68,0,"M:Microsoft.Extensions.DependencyInjection.JwtBearerExtensions.AddJwtBearer(Microsoft.AspNetCore.Authentication.AuthenticationBuilder,System.Action{Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerOptions})",,,,,"builder.Services.AddAuthentication(JwtBearerDefaults.AuthenticationScheme).AddJwtBearer(opt=>      {          opt.TokenValidationParameters=new TokenValidationParameters {              ValidateIssuerSigningKey= true,              IssuerSigningKey=key,              ValidateAudience= false,              ValidateIssuer=false,          };      }  );"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,src\Api\Ecommerce.Api\Ecommerce.Api.csproj,File,src\Api\Ecommerce.Api\Program.cs,61,0,T:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions,,,,,identityBuilder.AddEntityFrameworkStores<EcommerceDbContext>();
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,src\Api\Ecommerce.Api\Ecommerce.Api.csproj,File,src\Api\Ecommerce.Api\Program.cs,61,0,M:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions.AddEntityFrameworkStores``1(Microsoft.AspNetCore.Identity.IdentityBuilder),,,,,identityBuilder.AddEntityFrameworkStores<EcommerceDbContext>();
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,src\Api\Ecommerce.Api\Ecommerce.Api.csproj,File,src\Api\Ecommerce.Api\Program.cs,31,0,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,builder.Services.AddMediatR(c => c.RegisterServicesFromAssembly(typeof(GetProductListQueryHandler).Assembly));
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 7.0.5,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 7.0.5  Recomendación:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 8.0.29"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 7.0.5,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 7.0.5  Recomendación:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.29"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,File,src\Core\Ecommerce.Application\Ecommerce.Application\Ecommerce.Application.csproj,,,Microsoft.AspNetCore.OpenApi 7.0.5,,,,,"Microsoft.AspNetCore.OpenApi, 7.0.5  Recomendación:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 8.0.29"
